0,1,2,3,4,Cash Ball
04,08,31,46,54,3
07,11,39,40,45,2
28,30,36,38,39,4
25,27,28,42,53,2
08,20,34,41,43,3
25,37,39,47,55,3
01,25,29,43,54,2
14,17,29,39,50,3
17,27,39,44,49,1
14,15,17,35,56,2
03,07,14,19,25,2
11,16,50,55,56,4
04,21,26,45,46,4
20,33,46,49,51,4
12,15,44,45,47,1
05,29,37,55,58,2
02,19,35,37,44,3
06,14,25,39,56,4
05,19,21,24,27,3
08,12,50,51,56,4
02,07,11,33,47,2
04,05,24,31,42,2
25,29,30,38,39,3
15,16,26,27,51,2
03,05,36,43,53,3
08,26,28,41,52,4
10,29,47,48,55,4
22,29,47,53,54,3
05,23,27,55,57,1
19,34,36,54,55,1
03,10,30,33,40,1
18,19,31,43,54,3
01,19,37,49,56,3
03,26,27,29,58,1
05,26,27,51,59,2
01,02,14,29,59,3
10,14,16,32,34,3
17,24,43,49,57,2
33,39,43,49,52,3
04,09,32,41,43,2
07,10,23,37,56,3
08,25,28,33,47,1
15,40,48,59,60,1
18,22,24,29,56,4
16,30,35,38,51,1
06,28,34,39,43,2
07,08,14,18,52,1
04,11,44,47,53,2
03,05,21,30,60,4
09,26,29,46,58,2
13,14,29,46,47,1
03,12,30,40,56,2
35,36,37,53,56,4
01,06,11,13,23,1
07,17,26,34,60,4
05,07,27,43,50,3
02,16,20,25,50,3
15,22,29,34,37,3
09,23,43,45,52,2
06,35,36,47,53,2
18,26,28,35,36,4
02,12,28,51,54,1
12,18,33,44,46,1
03,06,17,47,48,1
19,34,35,54,57,3
10,22,46,47,48,4
08,23,27,38,47,4
03,16,20,38,49,3
01,14,20,21,43,4
18,43,51,52,60,4
06,26,35,40,43,2
06,11,32,56,60,2
09,17,36,38,53,4
14,17,38,40,45,2
04,08,17,20,21,4
08,24,28,57,60,2
01,20,24,46,57,1
08,11,35,47,60,2
18,29,47,52,53,3
12,15,22,25,27,3
01,05,11,39,47,1
16,28,38,43,45,3
12,23,29,38,43,3
13,19,20,21,35,2
08,09,35,37,41,4
05,14,22,37,60,2
03,17,30,50,55,3
20,22,26,27,43,2
08,22,31,38,40,3
12,22,27,35,49,4
04,11,14,46,59,4
01,15,21,41,60,4
04,07,33,50,55,1
09,30,43,51,55,3
08,25,26,33,56,1
02,40,46,59,60,2
08,23,37,38,58,1
07,08,16,49,56,4
07,21,30,53,55,2
03,07,14,20,32,3
03,27,28,49,52,4
19,22,29,38,53,1
06,09,28,40,41,1
09,22,24,36,54,1
08,16,43,52,59,3
12,13,20,28,45,4
10,13,49,54,57,4
23,26,32,50,57,4
16,30,37,52,55,3
23,34,35,44,52,1
19,36,37,43,50,1
09,11,28,30,41,4
28,39,40,53,54,1
05,10,11,24,28,3
03,05,09,32,56,1
12,44,56,58,59,2
01,17,23,44,45,2
03,21,28,32,56,3
09,21,27,45,53,2
12,24,27,38,49,2
06,08,34,40,59,4
11,24,40,43,47,2
06,10,29,44,57,2
03,11,34,46,60,2
05,10,33,48,57,3
03,18,38,40,49,2
17,21,36,48,60,3
13,25,26,32,58,1
06,15,31,51,53,2
05,20,35,43,48,3
04,06,11,24,31,3
08,09,22,46,51,1
09,19,34,37,49,2
11,12,31,54,59,3
11,13,23,54,55,2
08,10,25,28,31,2
01,04,10,28,33,2
15,22,51,52,58,3
05,16,21,33,47,4
08,13,43,56,60,2
09,36,44,53,59,3
